"participant_id","source","days_since_roasting","enjoyment","sleep_hours","manuscriptOverDue"
1,"Luke",6,8.5,7.9,"yes"
2,"conference",22,0,9,"no"
3,"Luke",21,7.1,6.5,"yes"
4,"Staufs",13,6.9,6,"yes"
5,"Staufs",26,5.7,7.2,"yes"
6,"conference",16,1.9,6.7,"yes"
7,"conference",14,3.4,8.6,"yes"
8,"Staufs",8,8.6,6.8,"yes"
9,"Luke",5,9.7,7.3,"yes"
10,"Luke",6,9.3,6.8,"yes"
11,"Luke",8,10,6.2,"yes"
12,"Staufs",10,7.4,6.9,"yes"
13,"conference",5,3.7,5.4,"yes"
14,"Kroger",17,6.3,7.9,"yes"
15,"Staufs",15,6.7,6.9,"yes"
16,"Luke",18,6.2,9.1,"no"
17,"Staufs",16,6.7,7.2,"yes"
18,"Kroger",11,6.2,6.3,"yes"
19,"Staufs",1,8.8,7.3,"yes"
20,"Luke",14,8.4,6.1,"yes"
21,"Staufs",19,5.8,6.6,"no"
22,"Luke",6,8.7,7,"yes"
23,"Luke",7,9.9,6.5,"yes"
24,"conference",8,3.2,6.8,"yes"
25,"Kroger",9,6.5,6.9,"yes"
26,"Staufs",6,7.6,7.1,"no"
27,"conference",3,4.6,6.4,"yes"
