"participant_id","sleep_hours","manuscriptOverDue"
1,6.9,"yes"
2,6.3,"yes"
3,7.6,"yes"
4,7.6,"yes"
5,7.2,"yes"
6,7.9,"yes"
7,7.9,"no"
8,5.7,"yes"
9,6.3,"yes"
10,5.8,"yes"
11,7.1,"no"
12,6.2,"yes"
13,6.7,"yes"
14,6,"yes"
15,6.8,"yes"
16,6.2,"yes"
17,8,"yes"
18,7.2,"yes"
19,7.4,"yes"
20,7,"yes"
21,8,"yes"
22,7,"no"
23,6.4,"yes"
24,7.8,"yes"
25,6.2,"yes"
26,6.5,"yes"
27,6.4,"yes"
28,6.5,"yes"
29,6.5,"yes"
30,7.1,"yes"
31,6.6,"yes"
32,6.3,"yes"
33,7.7,"yes"
34,7.3,"no"
35,6.6,"yes"
36,6.6,"yes"
37,8,"no"
38,6.6,"yes"
39,6.7,"yes"
40,6.2,"yes"
