"participant_id","source","days_since_roasting","enjoyment"
1,"Luke",6,8.5
2,"conference",22,0
3,"Luke",21,7.1
4,"Staufs",13,6.9
5,"Staufs",26,5.7
6,"conference",16,1.9
7,"conference",14,3.4
8,"Staufs",8,8.6
9,"Luke",5,9.7
10,"Luke",6,9.3
11,"Luke",8,10
12,"Staufs",10,7.4
13,"conference",5,3.7
14,"Kroger",17,6.3
15,"Staufs",15,6.7
16,"Luke",18,6.2
17,"Staufs",16,6.7
18,"Kroger",11,6.2
19,"Staufs",1,8.8
20,"Luke",14,8.4
21,"Staufs",19,5.8
22,"Luke",6,8.7
23,"Luke",7,9.9
24,"conference",8,3.2
25,"Kroger",9,6.5
26,"Staufs",6,7.6
27,"conference",3,4.6
