"participant_id","source","days_since_roasting","enjoyment"
1,"conference",6,1.6
2,"Staufs",22,6.5
3,"Kroger",21,3.2
4,"Luke",13,5.7
5,"Staufs",26,4.1
6,"conference",16,0.6
7,"Kroger",14,5.3
8,"Kroger",8,5.7
9,"conference",5,2.7
10,"Kroger",6,5.8
11,"Kroger",8,4.4
12,"Kroger",10,5.2
13,"Kroger",5,6.4
14,"Kroger",17,5.8
15,"Staufs",15,6.6
16,"conference",18,1.3
17,"Luke",16,5.3
18,"Luke",11,7.8
19,"Kroger",1,6.5
20,"Kroger",14,3.5
21,"Kroger",19,4
22,"Staufs",6,6.3
23,"Luke",7,8.9
24,"Kroger",8,4.7
25,"conference",9,1.5
26,"conference",6,1.5
27,"conference",3,2.5
28,"Staufs",18,5.8
29,"Kroger",7,5.1
30,"Staufs",19,5.8
31,"Kroger",16,3.4
32,"conference",9,1
33,"Kroger",7,6.4
34,"Kroger",14,3
35,"Staufs",6,7.5
36,"Luke",2,8.2
37,"conference",16,0
38,"conference",9,2.9
39,"Kroger",12,6
40,"conference",8,1.7
